🍑測試168.777,#genre#
{"name":"星衛电影台","source":["zlive://173.208.209.114:7719/cbb370795de075908faf9efc84a7bd1a"]},
{"name":"靖天电影台","source":["zlive://173.208.209.114:7719/b2ab02cd2e797f87c924adb877406380"]},
{"name":"HBO family","source":["zlive://173.208.209.114:7719/205d6f2ce4906f6f32ebba9522d697c4"]},
{"name":"壹电影","source":["zlive://173.208.209.114:7719/3bce9de4abee51affc7e82affacd22ee"]},
{"name":"罪案侦缉","source":["P2p://generationnexxxt.com:19806/86f73b65769a48bbaf9bd83fd430df8a"]},
{"name":"HBO","source":["P2p://generationnexxxt.com:19806/22e62f2a02e148b994e170e1f08c37d5"]},
{"name":"HBO强档巨献","source":["P2p://generationnexxxt.com:19806/c3f10bb71ea74bb68c9390b3cc7c50c0"]},
{"name":"HBO原创巨献","source":["P2p://generationnexxxt.com:19806/69492ac4bba34a11a8de21792a376baf"]},
{"name":"EVE","source":["P2p://generationnexxxt.com:19806/cb003e49d5224ce09856f1c1770c32e5"]},
{"name":"美亚电影台","source":["P2p://generationnexxxt.com:19806/dd098e4bd8c4432da26bf91235f43596"]},
{"name":"龙华电影","source":["P2p://generationnexxxt.com:19806/caa18819e3884ce9813a067530171bf2"]},
{"name":"星卫电影","source":["P2p://generationnexxxt.com:19806/d050c38fac8c411aaa9b9a300aeaa1e4"]},
{"name":"靖天电影","source":["P2p://generationnexxxt.com:19806/37f508458d18414ea7ea39ef3094e33a"]},
{"name":"HBO Family","source":["P2p://generationnexxxt.com:19806/0f5c08c72c364df8b0a97c837e81802d"]},
{"name":"CatchPlay电影台","source":["P2p://generationnexxxt.com:19806/a1b6fd58115c4a7392ff9b43d5fa1461"]},
{"name":"壹电视电影台","source":["P2p://generationnexxxt.com:19806/0c547d4f29db4bef9790f259ee669818"]}]}






















